予報地域コード,都道府県コード,都道府県代表地,予報都道府県名,予報地域名,代表都市名
1100,01,0,北海道,宗谷地方,稚内
1200,01,0,北海道,上川地方,旭川
1300,01,0,北海道,留萌地方,留萌
1400,01,1,北海道,石狩地方,札幌
1500,01,0,北海道,空知地方,岩見沢
1600,01,0,北海道,後志地方,倶知安
1710,01,0,北海道,網走地方,網走
1720,01,0,北海道,北見地方,北見
1730,01,0,北海道,紋別地方,紋別
1800,01,0,北海道,根室地方,根室
1900,01,0,北海道,釧路地方,釧路
2000,01,0,北海道,十勝地方,帯広
2100,01,0,北海道,胆振地方,室蘭
2200,01,0,北海道,日高地方,浦河
2300,01,0,北海道,渡島地方,函館
2400,01,0,北海道,檜山地方,江差
3110,02,1,青森県,津軽,青森
3120,02,0,青森県,下北,むつ
3130,02,0,青森県,三八上北,八戸
3210,05,1,秋田県,沿岸,秋田
3220,05,0,秋田県,内陸,横手
3310,03,1,岩手県,内陸,盛岡
3320,03,0,岩手県,沿岸北部,宮古
3330,03,0,岩手県,沿岸南部,大船渡
3410,04,1,宮城県,東部,仙台
3420,04,0,宮城県,西部,白石
3510,06,1,山形県,村山,山形
3520,06,0,山形県,置賜,米沢
3530,06,0,山形県,庄内,酒田
3540,06,0,山形県,最上,新庄
3610,07,1,福島県,中通り,福島
3620,07,0,福島県,浜通り,小名浜
3630,07,0,福島県,会津,若松
5010,22,1,静岡県,中部,静岡
5020,22,0,静岡県,伊豆,網代
5030,22,0,静岡県,東部,三島
5040,22,0,静岡県,西部,浜松
5110,23,1,愛知県,西部,名古屋
5120,23,0,愛知県,東部,豊橋
5210,21,1,岐阜県,美濃地方,岐阜
5220,21,0,岐阜県,飛騨地方,高山
5310,24,1,三重県,北中部,津
5320,24,0,三重県,南部,尾鷲
5510,16,1,富山県,東部,富山
5520,16,0,富山県,西部,伏木
5610,17,1,石川県,加賀,金沢
5620,17,0,石川県,能登,輪島
5710,18,1,福井県,嶺北,福井
5720,18,0,福井県,嶺南,敦賀
5410,15,1,新潟県,下越,新潟
5420,15,0,新潟県,中越,長岡
5430,15,0,新潟県,上越,高田
5440,15,0,新潟県,佐渡,相川
4010,08,1,茨城県,北部,水戸
4020,08,0,茨城県,南部,土浦
4110,09,1,栃木県,南部,宇都宮
4120,09,0,栃木県,北部,大田原
4210,10,1,群馬県,南部,前橋
4220,10,0,群馬県,北部,みなかみ
4310,11,1,埼玉県,南部,さいたま
4320,11,0,埼玉県,北部,熊谷
4330,11,0,埼玉県,秩父地方,秩父
4410,13,1,東京都,東京地方,東京
4420,13,0,東京都,伊豆諸島北部,大島
4430,13,0,東京都,伊豆諸島南部,八丈島
4440,13,0,東京都,小笠原地方,父島
4510,12,1,千葉県,北西部,千葉
4520,12,0,千葉県,北東部,銚子
4530,12,0,千葉県,南部,館山
4610,14,1,神奈川県,東部,横浜
4620,14,0,神奈川県,西部,小田原
4810,20,1,長野県,北部,長野
4820,20,0,長野県,中部,松本
4830,20,0,長野県,南部,飯田
4910,19,1,山梨県,中西部,甲府
4920,19,0,山梨県,東部・富士五湖,河口湖
6010,25,1,滋賀県,南部,大津
6020,25,0,滋賀県,北部,彦根
6100,26,1,京都府,南部,京都
0400,26,0,京都府,北部,舞鶴
